Area Name,Total/Rural/Urban,Total Population,Male Population,Female Population,Total population attending educational institution,Male population attending educational institution,Female population attending educational institution,Total literates,Male literates,Female literates
District - Chikmagalur  17,Rural,918181,461286,456895,176235,93344,82891,161999,86266,75733
District - Chikmagalur  17,Urban,222724,113625,109099,54667,28069,26598,50759,26130,24629
District - Tumkur  18,Total,2584711,1313801,1270910,552465,299472,252993,507451,277233,230218
District - Tumkur  18,Rural,2077509,1052113,1025396,425760,231329,194431,391132,214211,176921
District - Tumkur  18,Urban,507202,261688,245514,126705,68143,58562,116319,63022,53297
District - Kolar  19,Total,2536069,1286193,1249876,558740,304879,253861,504476,278083,226393
District - Kolar  19,Rural,1910546,968253,942293,402231,222894,179337,362121,203084,159037
District - Kolar  19,Urban,625523,317940,307583,156509,81985,74524,142355,74999,67356
District - Bangalore  20,Total,6537124,3426599,3110525,1467790,775634,692156,1310042,696797,613245
District - Bangalore  20,Rural,777137,406201,370936,164134,87613,76521,146779,79285,67494
District - Bangalore  20,Urban,5759987,3020398,2739589,1303656,688021,615635,1163263,617512,545751
District - Bangalore Rural  21,Total,1881514,962183,919331,405630,218958,186672,372829,202627,170202
District - Bangalore Rural  21,Rural,1474118,752077,722041,312893,170456,142437,287417,157784,129633
District - Bangalore Rural  21,Urban,407396,210106,197290,92737,48502,44235,85412,44843,40569
District - Mandya  22,Total,1763705,888034,875671,367800,195819,171981,335474,179770,155704
District - Mandya  22,Rural,1480990,744276,736714,299427,160161,139266,272382,146715,125667
District - Mandya  22,Urban,282715,143758,138957,68373,35658,32715,63092,33055,30037
District - Hassan  23,Total,1721669,859086,862583,363466,191456,172010,335884,177736,158148
District - Hassan  23,Rural,1416996,703957,713039,284569,150678,133891,261836,139360,122476
District - Hassan  23,Urban,304673,155129,149544,78897,40778,38119,74048,38376,35672
District - Dakshina Kannada  24,Total,1897730,938434,959296,421760,220496,201264,390585,204700,185885
District - Dakshina Kannada  24,Rural,1168428,574657,593771,247951,131535,116416,229958,122356,107602
